Name,ontologyTermName,ontologyTermIRI,score,validated,review,
adrenal insufficiency,Adrenal insufficiency,http://purl.obolibrary.org/obo/HP_0000846,100,FALSE,FALSE,
chronic lymphocytic leukemia,Chronic lymphatic leukemia,http://purl.obolibrary.org/obo/HP_0005550,100,FALSE,FALSE,
cleft lip bilateral,Bilateral cleft lip,http://purl.obolibrary.org/obo/HP_0100336,100,FALSE,FALSE,
cleft lip unilateral,Unilateral cleft lip,http://purl.obolibrary.org/obo/HP_0100333,100,FALSE,FALSE,
cleft lip palate bilateral,Bilateral cleft lip and palate,http://purl.obolibrary.org/obo/HP_0002744,100,FALSE,FALSE,
acute lymphatic leukemia,Acute lymphoblastic leukemia,http://purl.obolibrary.org/obo/HP_0006721,100,FALSE,FALSE,
brachycephaly,Brachycephaly,http://purl.obolibrary.org/obo/HP_0000248,100,FALSE,FALSE,
cafe au lait spot,Cafe-au-lait spot,http://purl.obolibrary.org/obo/HP_0000957,100,FALSE,FALSE,
cardiac arrest,Cardiac arrest,http://purl.obolibrary.org/obo/HP_0001695,100,FALSE,FALSE,
cataract congenital,Developmental cataract,http://purl.obolibrary.org/obo/HP_0000519,100,FALSE,FALSE,
anal atresia,Anal atresia,http://purl.obolibrary.org/obo/HP_0002023,100,FALSE,FALSE,
aneurysm aortic thoracal,Thoracic aortic aneurysm,http://purl.obolibrary.org/obo/HP_0012727,100,FALSE,FALSE,
colitis ulcerosa,Ulcerative colitis,http://purl.obolibrary.org/obo/HP_0100279,100,FALSE,FALSE,
congenital cataract,Developmental cataract,http://purl.obolibrary.org/obo/HP_0000519,100,FALSE,FALSE,
congenital nephrotic syndrome,Congenital nephrotic syndrome,http://purl.obolibrary.org/obo/HP_0008677,100,FALSE,FALSE,
contracture joint,Flexion contracture,http://purl.obolibrary.org/obo/HP_0001371,100,FALSE,FALSE,
cryptorchidism bilateral,Bilateral cryptorchidism,http://purl.obolibrary.org/obo/HP_0008689,100,FALSE,FALSE,
cryptorchidism unilateral,Unilateral cryptorchidism,http://purl.obolibrary.org/obo/HP_0012741,100,FALSE,FALSE,
cystic hygroma,Cystic hygroma,http://purl.obolibrary.org/obo/HP_0000476,100,FALSE,FALSE,
cystinuria,Cystinuria,http://purl.obolibrary.org/obo/HP_0003131,100,FALSE,FALSE,
delayed tooth eruption,Delayed eruption of teeth,http://purl.obolibrary.org/obo/HP_0000684,100,FALSE,FALSE,
double outlet right ventricle,Double outlet right ventricle,http://purl.obolibrary.org/obo/HP_0001719,100,FALSE,FALSE,
amyoplasia,Amyoplasia,http://purl.obolibrary.org/obo/HP_0003634,100,FALSE,FALSE,
encephalocele occipital,Occipital encephalocele,http://purl.obolibrary.org/obo/HP_0002085,100,FALSE,FALSE,
aorta coarctation preductal,Preductal coarctation of the aorta,http://purl.obolibrary.org/obo/HP_0005151,100,FALSE,FALSE,
medulloblastoma cerebellar,Cerebellar medulloblastoma,http://purl.obolibrary.org/obo/HP_0007129,100,FALSE,FALSE,
gastrointestinal stromal tumor,Gastrointestinal stroma tumor,http://purl.obolibrary.org/obo/HP_0100723,100,FALSE,FALSE,
hairy elbows,Elbow hypertrichosis,http://purl.obolibrary.org/obo/HP_0004780,100,FALSE,FALSE,
hepatomegaly,Hepatomegaly,http://purl.obolibrary.org/obo/HP_0002240,100,FALSE,FALSE,
horseshoe kidney,Horseshoe kidney,http://purl.obolibrary.org/obo/HP_0000085,100,FALSE,FALSE,
hydranencephaly,Hydranencephaly,http://purl.obolibrary.org/obo/HP_0002324,100,FALSE,FALSE,
hypertension,Hypertension,http://purl.obolibrary.org/obo/HP_0000822,100,FALSE,FALSE,
hypoplasia thumb,Short thumb,http://purl.obolibrary.org/obo/HP_0009778,100,FALSE,FALSE,
hypospadias,Hypospadias,http://purl.obolibrary.org/obo/HP_0000047,100,FALSE,FALSE,
intrahepatic cholestasis,Intrahepatic cholestasis,http://purl.obolibrary.org/obo/HP_0001406,100,FALSE,FALSE,
kernicterus,Kernicterus,http://purl.obolibrary.org/obo/HP_0001343,100,FALSE,FALSE,
kidney agenesis unilateral,Unilateral renal agenesis,http://purl.obolibrary.org/obo/HP_0000122,100,FALSE,FALSE,
anteriorly placed anus,Anteriorly placed anus,http://purl.obolibrary.org/obo/HP_0001545,100,FALSE,FALSE,
kidney dysplasia multicystic,Multicystic kidney dysplasia,http://purl.obolibrary.org/obo/HP_0000003,100,FALSE,FALSE,
mental retardation severe,"Intellectual disability, severe",http://purl.obolibrary.org/obo/HP_0010864,100,FALSE,FALSE,
aortic dissection type b,Descending aortic dissection,http://purl.obolibrary.org/obo/HP_0012499,100,FALSE,FALSE,
mental retardation moderate,"Intellectual disability, moderate",http://purl.obolibrary.org/obo/HP_0002342,100,FALSE,FALSE,
mental retardation profound,"Intellectual disability, profound",http://purl.obolibrary.org/obo/HP_0002187,100,FALSE,FALSE,
micrognathia,Micrognathia,http://purl.obolibrary.org/obo/HP_0000347,100,FALSE,FALSE,
micropenis,Micropenis,http://purl.obolibrary.org/obo/HP_0000054,100,FALSE,FALSE,
microphthalmos bilateral,Bilateral microphthalmos,http://purl.obolibrary.org/obo/HP_0007633,100,FALSE,FALSE,
microphthalmos unilateral,Unilateral microphthalmos,http://purl.obolibrary.org/obo/HP_0011480,100,FALSE,FALSE,
aortic valve atresia,Aortic valve atresia,http://purl.obolibrary.org/obo/HP_0010883,100,FALSE,FALSE,
molybdenum cofactor deficiency,Molybdenum cofactor deficiency,http://purl.obolibrary.org/obo/HP_0003570,100,FALSE,FALSE,
myopia,Myopia,http://purl.obolibrary.org/obo/HP_0000545,100,FALSE,FALSE,
neonatal seizures,Neonatal seizure,http://purl.obolibrary.org/obo/HP_0032807,100,FALSE,FALSE,
arachnoidal cyst,Arachnoid cyst,http://purl.obolibrary.org/obo/HP_0100702,100,FALSE,FALSE,
oligohydramnios,Oligohydramnios,http://purl.obolibrary.org/obo/HP_0001562,100,FALSE,FALSE,
omphalocele,Omphalocele,http://purl.obolibrary.org/obo/HP_0001539,100,FALSE,FALSE,
single umbilical artery,Single umbilical artery,http://purl.obolibrary.org/obo/HP_0001195,100,FALSE,FALSE,
sirenomelia,Sirenomelia,http://purl.obolibrary.org/obo/HP_0010497,100,FALSE,FALSE,
spastic ataxia,Spastic ataxia,http://purl.obolibrary.org/obo/HP_0002497,100,FALSE,FALSE,
situs inversus totalis,Situs inversus totalis,http://purl.obolibrary.org/obo/HP_0001696,100,FALSE,FALSE,
spastic paraparesis,Spastic paraparesis,http://purl.obolibrary.org/obo/HP_0002313,100,FALSE,FALSE,
asymmetric crying face,Asymmetric crying face,http://purl.obolibrary.org/obo/HP_0011333,100,FALSE,FALSE,
patent ductus arteriosus,Patent ductus arteriosus,http://purl.obolibrary.org/obo/HP_0001643,100,FALSE,FALSE,
pheochromocytoma,Pheochromocytoma,http://purl.obolibrary.org/obo/HP_0002666,100,FALSE,FALSE,
polydactyly postaxial,Postaxial polydactyly,http://purl.obolibrary.org/obo/HP_0100259,100,FALSE,FALSE,
polysplenia,Polysplenia,http://purl.obolibrary.org/obo/HP_0001748,100,FALSE,FALSE,
precocious puberty,Precocious puberty,http://purl.obolibrary.org/obo/HP_0000826,100,FALSE,FALSE,
protein-losing enteropathy,Protein-losing enteropathy,http://purl.obolibrary.org/obo/HP_0002243,100,FALSE,FALSE,
renal agenesis bilateral,Bilateral renal agenesis,http://purl.obolibrary.org/obo/HP_0010958,100,FALSE,FALSE,
renal cell carcinoma clear cell,Clear cell renal cell carcinoma,http://purl.obolibrary.org/obo/HP_0006770,100,FALSE,FALSE,
sebaceous carcinoma,Sebaceous gland carcinoma,http://purl.obolibrary.org/obo/HP_0030410,100,FALSE,FALSE,
attention deficit hyperactivity disorder,Attention deficit hyperactivity disorder,http://purl.obolibrary.org/obo/HP_0007018,100,FALSE,FALSE,
thrombocytopenia,Thrombocytopenia,http://purl.obolibrary.org/obo/HP_0001873,100,FALSE,FALSE,
transposition of the great arteries,Transposition of the great arteries,http://purl.obolibrary.org/obo/HP_0001669,100,FALSE,FALSE,
autism,Autism,http://purl.obolibrary.org/obo/HP_0000717,100,FALSE,FALSE,
vertebral segmentation defect,Vertebral segmentation defect,http://purl.obolibrary.org/obo/HP_0003422,100,FALSE,FALSE,
xanthinuria,Xanthinuria,http://purl.obolibrary.org/obo/HP_0010934,100,FALSE,FALSE,
atrioventricular septal defect 1,Atrioventricular canal defect,http://purl.obolibrary.org/obo/HP_0006695,96.88,FALSE,FALSE,
goiter multinodular 1,Multinodular goiter,http://purl.obolibrary.org/obo/HP_0005987,95.24,FALSE,FALSE,
anomalous pulmonary venous return ad,Anomalous pulmonary venous return,http://purl.obolibrary.org/obo/HP_0010772,95.24,FALSE,FALSE,
epidermolytic hyperkeratosis ad,Congenital bullous ichthyosiform erythroderma,http://purl.obolibrary.org/obo/HP_0007475,94.55,FALSE,FALSE,
amyotrophic lateral sclerosis ad,Amyotrophic lateral sclerosis,http://purl.obolibrary.org/obo/HP_0007354,94.34,FALSE,FALSE,
long qt syndrome 1,Prolonged QT interval,http://purl.obolibrary.org/obo/HP_0001657,94.12,FALSE,FALSE,
cardiomyopathy congestive ar,Dilated cardiomyopathy,http://purl.obolibrary.org/obo/HP_0001644,93.88,FALSE,FALSE,
scapuloperoneal myopathy ad,Scapuloperoneal myopathy,http://purl.obolibrary.org/obo/HP_0009054,93.62,FALSE,FALSE,
aplasia cutis congenital,Aplasia cutis congenita,http://purl.obolibrary.org/obo/HP_0001057,93.33,FALSE,FALSE,
bicuspid aortic valve ad,Bicuspid aortic valve,http://purl.obolibrary.org/obo/HP_0001647,93.33,FALSE,FALSE,
mitral valve prolapse ad,Mitral valve prolapse,http://purl.obolibrary.org/obo/HP_0001634,93.02,FALSE,FALSE,
hernia diaphragmatic ad,Congenital diaphragmatic hernia,http://purl.obolibrary.org/obo/HP_0000776,92.68,FALSE,FALSE,
acanthosis nigricans ad,Acanthosis nigricans,http://purl.obolibrary.org/obo/HP_0000956,92.68,FALSE,FALSE,
spastic paraplegia ad,Spastic paraplegia,http://purl.obolibrary.org/obo/HP_0001258,92.68,FALSE,FALSE,
holoprosencephaly ad,Holoprosencephaly,http://purl.obolibrary.org/obo/HP_0001360,92.31,FALSE,FALSE,
ataxia cerebellar ad,Ataxia,http://purl.obolibrary.org/obo/HP_0001251,92.31,FALSE,FALSE,
tetralogy of fallot ad,Tetralogy of Fallot,http://purl.obolibrary.org/obo/HP_0001636,91.89,FALSE,FALSE,
torsion dystonia ad,Torsion dystonia,http://purl.obolibrary.org/obo/HP_0001304,91.89,FALSE,FALSE,
malignant melanoma ad,Melanoma,http://purl.obolibrary.org/obo/HP_0002861,91.43,FALSE,FALSE,
cleft lip palate unilateral,Unilateral cleft palate,http://purl.obolibrary.org/obo/HP_0100334,91.3,FALSE,FALSE,
corpus callosum hypoplasia,Hypodysplasia of the corpus callosum,http://purl.obolibrary.org/obo/HP_0006849,90.91,FALSE,FALSE,
megalencephaly ad,Megalencephaly,http://purl.obolibrary.org/obo/HP_0001355,90.91,FALSE,FALSE,
nail dysplasia ad,Nail dysplasia,http://purl.obolibrary.org/obo/HP_0002164,90.91,FALSE,FALSE,
osteopoikilosis ad,Osteopoikilosis,http://purl.obolibrary.org/obo/HP_0010739,90.91,FALSE,FALSE,
achromatopsia ar,Achromatopsia,http://purl.obolibrary.org/obo/HP_0011516,90.32,FALSE,FALSE,
congenital heart malformation,Congenital malformation of the left heart,http://purl.obolibrary.org/obo/HP_0045017,90.2,FALSE,FALSE,
alpha-aminoadipicaciduria,Alpha-aminoadipic aciduria,http://purl.obolibrary.org/obo/HP_0410309,90.2,FALSE,FALSE,
bilateral periventricular nodular heterotopia,Periventricular nodular heterotopia,http://purl.obolibrary.org/obo/HP_0032388,90,FALSE,FALSE,
vermis agenesis cerebelli,Agenesis of cerebellar vermis,http://purl.obolibrary.org/obo/HP_0002335,89.8,FALSE,FALSE,
ectrodactyly ad,Ectrodactyly,http://purl.obolibrary.org/obo/HP_0100257,89.66,FALSE,FALSE,
hydrocephalus xl,Hydrocephalus,http://purl.obolibrary.org/obo/HP_0000238,89.66,FALSE,FALSE,
microcephaly ad,Microcephaly,http://purl.obolibrary.org/obo/HP_0000252,89.66,FALSE,FALSE,
microcephaly ar,Microcephaly,http://purl.obolibrary.org/obo/HP_0000252,89.66,FALSE,FALSE,
microcephaly xl,Microcephaly,http://purl.obolibrary.org/obo/HP_0000252,89.66,FALSE,FALSE,
uvula bifid ad,Bifid uvula,http://purl.obolibrary.org/obo/HP_0000193,88.89,FALSE,FALSE,
thrombocytopenia alloimmune,Neonatal alloimmune thrombocytopenia,http://purl.obolibrary.org/obo/HP_0004809,88.52,FALSE,FALSE,
muscular dystrophy 1 ar,Muscular dystrophy,http://purl.obolibrary.org/obo/HP_0003560,88.37,FALSE,FALSE,
spastic paraplegia 11ar,Spastic paraplegia,http://purl.obolibrary.org/obo/HP_0001258,88.37,FALSE,FALSE,
cardiomyopathy hypertrophic familial,Hypertrophic cardiomyopathy,http://purl.obolibrary.org/obo/HP_0001639,88.14,FALSE,FALSE,
narcolepsy ad,Narcolepsy,http://purl.obolibrary.org/obo/HP_0030050,88,FALSE,FALSE,
periventricular nodular heterotopia unspecified,Periventricular nodular heterotopia,http://purl.obolibrary.org/obo/HP_0032388,87.8,FALSE,FALSE,
situs inversus abdominal organs,Abdominal situs inversus,http://purl.obolibrary.org/obo/HP_0003363,87.5,FALSE,FALSE,
bethlem congenital muscular dystrophy,Congenital muscular dystrophy,http://purl.obolibrary.org/obo/HP_0003741,87.5,FALSE,FALSE,
spinal muscular atrophy type 1,Spinal muscular atrophy,http://purl.obolibrary.org/obo/HP_0007269,87.27,FALSE,FALSE,
premature ovarian failure familial,Premature ovarian insufficiency,http://purl.obolibrary.org/obo/HP_0008209,87.27,FALSE,FALSE,
arthrogryposis multiplex congenita unspecified,Arthrogryposis multiplex congenita,http://purl.obolibrary.org/obo/HP_0002804,87.18,FALSE,FALSE,
myocardial infarction acute,Myocardial infarction,http://purl.obolibrary.org/obo/HP_0001658,87.18,FALSE,FALSE,
neurofibromatosis 1 ad,Neurofibromas,http://purl.obolibrary.org/obo/HP_0001067,87.18,FALSE,FALSE,
retinitis pigmentosa 1 ad,Rod-cone dystrophy,http://purl.obolibrary.org/obo/HP_0000510,87.18,FALSE,FALSE,
ichthyosis xl,Ichthyosis,http://purl.obolibrary.org/obo/HP_0008064,86.96,FALSE,FALSE,
situs inversus thoracic organs,Dextrocardia,http://purl.obolibrary.org/obo/HP_0001651,86.96,FALSE,FALSE,
familial thoracic aortic aneurysm,Thoracic aortic aneurysm,http://purl.obolibrary.org/obo/HP_0012727,86.79,FALSE,FALSE,
vermis agenesis,Agenesis of cerebellar vermis,http://purl.obolibrary.org/obo/HP_0002335,86.67,FALSE,FALSE,
familial hyperinsulinemic hypoglycemia 1,Hyperinsulinemic hypoglycemia,http://purl.obolibrary.org/obo/HP_0000825,86.15,FALSE,FALSE,
atrioventricular septal defect unspecified,Atrioventricular canal defect,http://purl.obolibrary.org/obo/HP_0006695,86.11,FALSE,FALSE,
familial hypertriglyceridemia,Hypertriglyceridemia,http://purl.obolibrary.org/obo/HP_0002155,85.71,FALSE,FALSE,
familial hypercholesterolemia,Hypercholesterolemia,http://purl.obolibrary.org/obo/HP_0003124,85.71,FALSE,FALSE,
spondyloepimetaphyseal dysplasia unspecified,Spondyloepimetaphyseal dysplasia,http://purl.obolibrary.org/obo/HP_0002651,85.71,FALSE,FALSE,
asymmetry face and or body,Facial asymmetry,http://purl.obolibrary.org/obo/HP_0000324,85.71,FALSE,FALSE,
ureter stenosis,Urethral stenosis,http://purl.obolibrary.org/obo/HP_0008661,85.71,FALSE,FALSE,
aortic stenosis supravalvular unspecified,Supravalvular aortic stenosis,http://purl.obolibrary.org/obo/HP_0004381,85.29,FALSE,FALSE,
olivopontocerebellar atrophy unspecified,Olivopontocerebellar atrophy,http://purl.obolibrary.org/obo/HP_0002542,85.29,FALSE,FALSE,
craniosynostosis of sutura coronaria,Coronal craniosynostosis,http://purl.obolibrary.org/obo/HP_0004440,85.25,FALSE,FALSE,
familial paroxysmal dyskinesia,Paroxysmal dyskinesia,http://purl.obolibrary.org/obo/HP_0007166,85.11,FALSE,FALSE,
communicating hydrocephalus acquired,Communicating hydrocephalus,http://purl.obolibrary.org/obo/HP_0001334,85.11,FALSE,FALSE,
angioneurotic edema ad,Angioedema,http://purl.obolibrary.org/obo/HP_0100665,85,FALSE,FALSE,
squamous cell carcinoma of skin unspecified,Squamous cell carcinoma of the skin,http://purl.obolibrary.org/obo/HP_0006739,84.85,FALSE,FALSE,
shortened femur,Short femur,http://purl.obolibrary.org/obo/HP_0003097,84.62,FALSE,FALSE,
rhabdomyolysis acute recurrent,Acute rhabdomyolysis,http://purl.obolibrary.org/obo/HP_0008942,84.44,FALSE,FALSE,
cardiomyopathy hypertrophic unspecified,Hypertrophic cardiomyopathy,http://purl.obolibrary.org/obo/HP_0001639,83.87,FALSE,FALSE,
hypogonadotrophic hypogonadism unspecified,Hypogonadotropic hypogonadism,http://purl.obolibrary.org/obo/HP_0000044,83.87,FALSE,FALSE,
pulmonary hypertension primary,Pulmonary arterial hypertension,http://purl.obolibrary.org/obo/HP_0002092,83.64,FALSE,FALSE,
diabetes mellitus type mody ad,Type I diabetes mellitus,http://purl.obolibrary.org/obo/HP_0100651,83.33,FALSE,FALSE,
lupus erythematosus systemic unspecified,Systemic lupus erythematosus,http://purl.obolibrary.org/obo/HP_0002725,83.33,FALSE,FALSE,
mental retardation unspecified,Intellectual disability,http://purl.obolibrary.org/obo/HP_0001249,83.33,FALSE,FALSE,
atresia pulmonary artery unspecified,Pulmonary artery atresia,http://purl.obolibrary.org/obo/HP_0004935,83.33,FALSE,FALSE,
malignant neoplasm pancreas,Neoplasm of the pancreas,http://purl.obolibrary.org/obo/HP_0002894,82.93,FALSE,FALSE,
aortic stenosis valvular unspecified,Aortic valve stenosis,http://purl.obolibrary.org/obo/HP_0001650,82.76,FALSE,FALSE,
spinal muscular atrophy unspecified,Spinal muscular atrophy,http://purl.obolibrary.org/obo/HP_0007269,82.76,FALSE,FALSE,
fragile xa,fragile,http://purl.obolibrary.org/obo/PATO_0001362,82.35,FALSE,FALSE,
propionic aciduria,Propionic acidemia,http://purl.obolibrary.org/obo/HP_0003571,82.35,FALSE,FALSE,
corpus callosum agenesis unspecified,Agenesis of corpus callosum,http://purl.obolibrary.org/obo/HP_0001274,82.14,FALSE,FALSE,
amelogenesis imperfecta unspecified,Amelogenesis imperfecta,http://purl.obolibrary.org/obo/HP_0000705,82.14,FALSE,FALSE,
atresia pulmonary valve unspecified,Pulmonary valve atresia,http://purl.obolibrary.org/obo/HP_0010882,82.14,FALSE,FALSE,
hyperprolinemia type 1,Hyperprolinemia,http://purl.obolibrary.org/obo/HP_0008358,82.05,FALSE,FALSE,
linear sebaceous nevus syndrome,Linear nevus sebaceous,http://purl.obolibrary.org/obo/HP_0010817,81.82,FALSE,FALSE,
hemorrhage intracerebral unspecified,Cerebral hemorrhage,http://purl.obolibrary.org/obo/HP_0001342,81.48,FALSE,FALSE,
postnatal growth retardation unspecified,Postnatal growth retardation,http://purl.obolibrary.org/obo/HP_0008897,81.48,FALSE,FALSE,
ataxia telangiectasia,telangiectasia,http://purl.obolibrary.org/obo/MPATH_476,81.08,FALSE,FALSE,
stomatitis aphthous,Recurrent aphthous stomatitis,http://purl.obolibrary.org/obo/HP_0011107,81.08,FALSE,FALSE,
hydrothorax congenital,Congenital microthorax,http://purl.obolibrary.org/obo/HP_0006647,80.95,FALSE,FALSE,
carcinoid tumor lung unspecified,Pulmonary carcinoid tumor,http://purl.obolibrary.org/obo/HP_0030445,80.77,FALSE,FALSE,
cardiomyopathy dilated unspecified,Dilated cardiomyopathy,http://purl.obolibrary.org/obo/HP_0001644,80.77,FALSE,FALSE,
distal arthrogryposis unspecified,Distal arthrogryposis,http://purl.obolibrary.org/obo/HP_0005684,80.77,FALSE,FALSE,
hemorrhage intracranial unspecified,Intracranial hemorrhage,http://purl.obolibrary.org/obo/HP_0002170,80.77,FALSE,FALSE,
klippel feil syndrome unspecified,Cervical C2/C3 vertebral fusion,http://purl.obolibrary.org/obo/HP_0004602,80.77,FALSE,FALSE,
methylmalonic acidemia unspecified,Methylmalonic acidemia,http://purl.obolibrary.org/obo/HP_0002912,80.77,FALSE,FALSE,
myopathy mitochondrial unspecified,Mitochondrial myopathy,http://purl.obolibrary.org/obo/HP_0003737,80.77,FALSE,FALSE,
prenatal growth retardation unspecified,Intrauterine growth retardation,http://purl.obolibrary.org/obo/HP_0001511,80.77,FALSE,FALSE,
renal cell carcinoma unspecified,Renal cell carcinoma,http://purl.obolibrary.org/obo/HP_0005584,80.77,FALSE,FALSE,
encephalomyopathy mitochondrial unspecified,Mitochondrial encephalopathy,http://purl.obolibrary.org/obo/HP_0006789,80.6,FALSE,FALSE,
agenesis pituitary gland,pituitary gland,http://purl.obolibrary.org/obo/UBERON_0000007,80,FALSE,FALSE,
cancer of breast familial,Breast carcinoma,http://purl.obolibrary.org/obo/HP_0003002,80,FALSE,FALSE,
