code,description
ARR,Array LOH
B14,Mutatie analyse BRCA1 gen
B15,Mutatie analyse BRCA2 gen
B16,MLPA analyse BRCA1
B17,aantonen/uitsluiten in familie bekende mutatie in BRCA1/2
B21,MLPA analyse BRCA2
B22,Mutatie analyse MYO5B gen
B23,Mutatie analyse CHEK2 1100delC
C,OLA analyse
C3,Mutatie analyse CFTR gen
C31,MLPA analyse CFTR
C37,ARMS analyse
C38,OLA analyse en bepaling T-stretch intron 8
C4,bekende mutatie aantonen dan wel uitsluiten
CDKL5,MLPA analyse CDKL5
CF01,analyse CF Elucigene
CF02,analyse CF Elucigene + bepaling T stretch intron 8
CH1,Mutatie analyse TFAP2B gen
CHCK,
CNV01,CNV analyse NGS
CV1,BM CNV analyse NGS ONCO
CV14,CNV + LOH detectie MDS
DC1,Mutatie analyse LMNA gen
DC11,Mutatie analyse DES gen
DC12,Mutatie analyse DSC2 gen
DC13,Mutatie analyse DSG2 gen
DC15,Mutatie analyse PLN gen
DC16,Mutatie analyse MYBPC3 gen
DC17,Mutatie analyse JUP gen
DC18,Mutatie analyse DSP gen
DC2,bekende mutatie aantonen dan wel uitsluiten
DC21,MLPA analyse ACM-PKP2 (DSG2/DSC2/PKP2/DSP/RYR2/JUP)
DC6,Mutatie analyse MYH7 gen
DC8,Mutatie analyse PKP2 gen
DC9,MLPA analyse LMNA
DI1,Verwerken genomisch materiaal
DI11,Mutatie analyse NOTCH 1 gen
DI28,Mutatie analyse BMPR2 gen
DI32,MLPA analyse BMPR2
DI4,in de familie bekende mutatie aantonen/uitsluiten
DI44,Primerdesign en bekende mutatie aantonen/uitsluiten
E01,Mutatie analyse KRT5 gen
E03,Mutatie analyse LAMB3 gen
E08,Mutatie analyse COL17A1 gen
E8,Mutatie analyse KRT14 gen
EA1,Mutatie analyse KCNA1 gen
F01,PCR analyse FMR-1 gen
F3,Mutatie analyse PCSK9 gen
FA1,Mutatie analyse TTR gen
FA4,Mutatie analyse FGA gen
FH1,Mutatie analyse LDLR gen
FH2,Mutatie analyse APOB gen
FH4,MLPA analyse LDLR
FIAR,Analyse CNV data gefilterd op aangevraagd panel
GO1,Mutatie analyse KIAA1279 gen
GS4,Mutatie analyse G6PT1 gen
GS5,Mutatie analyse AGL gen
GS6,Mutatie analyse G6PC gen
H01,MSI onderzoek
H05,Mutatie analyse MSH6 gen
H51,Mutatie analyse MSH2 gen
H52,Mutatie analyse MLH1 gen
H54,Mutatie analyse MUTYH gen
H56,MLH1 hypermethylatie analyse
H59,Mutatie analyse PMS2 gen
H63,MLPA analyse MLH1/MSH2/EPCAM
H65,MLPA analyse MSH6
H66,MLPA analyse PMS2
H67,Mutatie analyse MLH1 op DNA uit P.A. materiaal
H71,Mutatie analyse PMS2 mbv Long Range pcr exon 11 tm 15
H72,analyse MSH2 inversie
HE1,Mutatie analyse ED1 gen
HE12,Mutatie analyse WNT10A gen
HE6,Mutatie analyse EDAR gen
HE7,MLPA analyse EDA; EDAR; EDARADD; WNT10A
HE9,Mutatie analyse EDARADD gen
HR1,Mutatie analyse PHEX gen
HR2,Mutatie analyse FGF23 gen
HR3,MLPA analyse PHEX/FGF23
HS01,Mutatie analyse RET gen
HS03,bekende mutatie aantonen danwel uitsluiten
HS04,Mutatie analyse EDNRB gen
HS29,Mutatie analyse EDN3 gen
HS30,Mutatie analyse SOX10 gen
HS31,Mutatie analyse NODAL gen
HS32,Mutatie analyse PHOX2B gen
HS33,MLPA analyse PHOX2B/SOX10/EDNRB
I01,Deletie analyse van het NEMO gen
I04,x-inaktivatie AR locus
I06,Mutatie analyse NEMO gen
L1,Mutatie analyse L1CAM gen
LF1,Mutatie analyse TP53 gen
LF4,MLPA analyse TP53
LV2,Mutatie analyse GDF1 gen
NGS,targeted NGS Cardio; exclusief PSEN 1/2
NGS1,Analyse NGS CARDIO
NGS10,Bevestigen gevonden mutatie
NGS2,losse amplicons NGS
NGS3,identificatie/bevestiging NGS
NGS4,targeted NGS ONCO; Klasse 1 + 2 + 3
NGS5,targeted NGS ONCO; Klasse 1 + 2
NGS6,targeted NGS ONCO; Klasse 1
NGS9,analyse NGS ONCO; Klasse 3
NX01,analyse NGS Dystonie
NX02,analyse NGS EPI; subpanel 1
NX03,analyse NGS EPI; subpanel 2
NX04,analyse NGS EPI; subpanel 3
NX05,analyse NGS EPI; subpanel 4
NX06,analyse NGS EPI; subpanel 5
NX07,analyse NGS EPI; subpanel 6
NX08,analyse NGS EPI; subpanel 7
NX09,analyse NGS EPI; subpanel 8
NX10,analyse NGS EPI; subpanel 9
NX100,Analyse Exoom; DYST
NX101,Analyse Exoom; DER Overig huid
NX102,Analyse Exoom; DER Epidermolysis Bullosa
NX103,Analyse Exoom; DER Ectodermale Dysplasie
NX104,Analyse Exoom; DER Ectodermale Dysplasie exclusief AXIN2
NX105,Analyse Exoom; FH
NX106,Analyse ExoomINH; o.b.v. HPO termen
NX107,Analyse Exoom; o.b.v. losse genen / regios
NX108,Analyse ExoomINH; o.b.v. HPO + losse genen / regios
NX109,Analyse Exoom; o.b.v. los gen (dragerschap)
NX11,analyse NGS EPI; subpanel 2 en 9
NX110,Analyse Exoom; genpanel 5GPM
NX111,Analyse Exoom; Amyloïdose
NX112,analyse NGS EPI; totaal
NX113,Analyse NGS ONCO; Borstkanker
NX114,Analyse Exoom; NEURO Spastische paraplegie
NX116,Analyse Exoom; CHM Heterotaxie
NX117,Analyse Exoom; CHM Congenitale afwijkingen
NX118,Analyse Exoom; CHM Linkszijdige hartafwijkingen
NX119,Analyse NGS ONCO; Borstkanker en LF
NX12,analyse NGS EPI; subpanel 1
NX120,Analyse Exoom; HVZ panel PAH
NX121,Analyse NGS Preconceptie
NX122,Analyse Exoom; PID Autoinflammatoir
NX123,Analyse Exoom; PID  HLH/Immuundisregulatie
NX124,Analyse Exoom; PID ALPS/Autoimmuniteit
NX125,Analyse Exoom; PID (S)CID
NX126,Analyse Exoom; PID  B cel pathologie
NX127,Analyse Exoom; PID HIES syndromen
NX128,Analyse Exoom; PID CMC
NX129,Analyse Exoom; PID totaal
NX13,analyse NGS EPI; subpanel 2
NX130,Analyse Exoom; NEURO Ataxie early onset
NX131,Analyse Exoom; NEURO Ataxie Volwassenen
NX132,Analyse Exoom; NEURO PCH
NX133,Analyse Exoom; DER Epidermolysis Bullosa
NX134,Analyse Exoom; DER Huidfragiliteit overig
NX135,Analyse Exoom; DER Ectodermale Dysplasie
NX137,Analyse Exoom; EPI Benigne familiaire neonatale/infantiele c
NX138,Analyse Exoom; EPI (Early Infantile) Epileptische Enc
NX139,Analyse Exoom; EPI Focale epilepsie
NX14,analyse NGS EPI; subpanel 3
NX140,Analyse Exoom; EPI Koortsgerelateerde convulsies
NX141,Analyse Exoom; EPI Progressieve myoclone epilepsie
NX143,Analyse Exoom; EPI Idiopathische gegeneraliseerde epilepsie
NX144,Analyse Exoom; EPI Epilepsie in combinatie met paroxysmale a
NX145,Analyse Exoom; EPI Syndromen met epilepsie en verst
NX146,Analyse Exoom; EPI Combi van GP Early Inf en syndr
NX147,Analyse Exoom; EPI Volledig Epilepsie Genpanel
NX148,Analyse Exoom; FOSFA Hyper-/ en Hypofosfatemie
NX149,Analyse Exoom; Dystonie
NX15,analyse NGS EPI; subpanel 4
NX150,Analyse Exoom; Myoclonus kind
NX151,Analyse Exoom; Myoclonus volwassenen
NX152,Analyse Exoom; NEURO Ataxie volw en Spastische paraplegie
NX153,Analyse NGS CARDIO
NX154,Analyse ExoomINH; open exoom
NX155,Analyse Exoom; DER ED
NX156,Analyse Exoom; DER ED syndromaal
NX157,Analyse Exoom; OA
NX158,Analyse Exoom; genpanel 5GPM
NX160,Analyse Exoom; CHM Congenitale afwijkingen
NX161,Analyse Exoom; KinderDCM
NX162,Analyse Exoom; Prenatale 5GPM
NX163,Analyse ExoomINH; diverse analyses
NX164,Analyse Exoom; HAE Angio-oedeem
